"Kurie 3 paaiškinimai geriausiai iliustruoja, kad tai hiena?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai hiena?","Kurie 3 paaiškinimai geriausiai iliustruoja, kad tai begemotas?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai begemotas?","Kurie 3 paaiškinimai geriausiai iliustruoja, kad tai drugelis?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai drugelis?","Kurie 3 paaiškinimai geriausiai iliustruoja, kad tai gyvatė?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai gyvatė?","Kurie 3 paaiškinimai geriausiai iliustruoja, kad tai rusų kurtas?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai  rusų kurtas?","Kuris paaiškinimas geriausiai iliustruoja, kad tai Auksaspalvis retriveris?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai Auksaspalvis retriveris?","Kuris paaiškinimas geriausiai iliustruoja, kad tai  Auksaspalvis retriveris?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai Auksaspalvis retriveris?","Kuris paaiškinimas geriausiai iliustruoja, kad tai  Auksaspalvis retriveris?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai Auksaspalvis retriveris?","Kuris paaiškinimas geriausiai iliustruoja, kad tai  Auksaspalvis retriveris?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai Auksaspalvis retriveris?","Kuris paaiškinimas geriausiai iliustruoja, kad tai  Auksaspalvis retriveris?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai Auksaspalvis retriveris?","Kuris paaiškinimas geriausiai iliustruoja, kad tai  Auksaspalvis retriveris?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai Auksaspalvis retriveris?","Kuris paaiškinimas geriausiai iliustruoja, kad tai  Auksaspalvis retriveris?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai Auksaspalvis retriveris?","Kuris paaiškinimas geriausiai iliustruoja, kad tai  Auksaspalvis retriveris?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai Auksaspalvis retriveris?","Kuris paaiškinimas geriausiai iliustruoja, kad tai žiūronai?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai  žiūronai?","Kuris paaiškinimas geriausiai iliustruoja, kad tai   žiūronai?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai  žiūronai?","Kuris paaiškinimas geriausiai iliustruoja, kad tai   žiūronai?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai žiūronai?","Kuris paaiškinimas geriausiai iliustruoja, kad tai   žiūronai?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai žiūronai?","Kuris paaiškinimas geriausiai iliustruoja, kad tai   žiūronai?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai žiūronai?","Kuris paaiškinimas geriausiai iliustruoja, kad tai   žiūronai?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai žiūronai?","Kuris paaiškinimas geriausiai iliustruoja, kad tai   žiūronai?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai žiūronai?","Kuris paaiškinimas geriausiai iliustruoja, kad tai   žiūronai?","Kurie 3 paaiškinimai blogiausiai iliustruoja, kad tai žiūronai?","Kurios 3 nuotraukos atrodo įtartiniausiai?
A rinktis negalima.","Kurios 3 nuotraukos atrodo įtartiniausiai?
A rinktis negalima.","Kurios 3 nuotraukos atrodo įtartiniausiai?
A rinktis negalima.","Kurios 3 nuotraukos atrodo įtartiniausiai?
A rinktis negalima.","Kurios 3 nuotraukos atrodo įtartiniausiai?
A rinktis negalima.",Kuri vizualizacija geriau paaiškina?,Kuri vizualizacija geriau paaiškina?
GradCAM++;LIME;GradCAM,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LIME;Guided GradCAM,GradCAM++;LIME;GradCAM,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LIME;Guided GradCAM,H,B;C;F,H,B;C;F,H,B;C;F,D,B;C;H,A,B;C;F,E,B;C;F,A,B;C;E,A,B;C;F,D,E;F;H,D,A;C;H,D,A;C;H,D,A;C;E,D,A;C;E,D,C;F;G,D,A;B;C,F,A;D;E,C;F;G,C;F;H,C;F;G,C;F;H,C;F;H,D,D
DeepLIFT;GradCAM;LRP,LIME;GradCAM;Guided GradCAM,GradCAM++;GradCAM;LRP,LIME;Guided GradCAM;Occlusions,DeepLIFT;Saliency;LIME,GradCAM;Guided GradCAM;Occlusions,DeepLIFT;GradCAM++;GradCAM,LIME;LRP;Occlusions,DeepLIFT;GradCAM++;LRP,LIME;Guided GradCAM;Occlusions,D,B;C;F,E,B;C;F,H,B;C;E,E,B;C;H,A,B;C;F,E,B;C;F,G,C;E;F,A,B;C;F,D,C;G;H,D,C;E;H,D,A;C;F,D,C;G;H,D,A;C;F,D,A;C;G,D,A;C;H,H,D;E;G,C;F;G,C;F;H,C;F;H,C;F;G,C;F;G,B,A
GradCAM++;GradCAM;Occlusions,DeepLIFT;LIME;LRP,GradCAM++;GradCAM;Occlusions,Saliency;LIME;LRP,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,LIME;LRP;Occlusions,DeepLIFT;GradCAM++;GradCAM,LIME;LRP;Occlusions,D,A;C;E,D,A;B;C,D,A;B;E,E,A;B;C,G,A;B;C,D,A;B;C,C,A;B;E,E,C;D;F,D,A;E;H,D,A;E;H,D,A;B;H,D,A;B;H,D,A;B;H,D,A;D;H,D,A;C;F,E,A;D;H,C;F;G,C;F;H,C;F;H,C;F;H,C;F;H,A,D
GradCAM++;LRP;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,LIME;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LIME;Guided GradCAM,GradCAM++;GradCAM;Occlusions,LIME;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LIME;Guided GradCAM,E,A;B;C,G,A;B;F,D,A;C;F,E,C;D;F,E,B;C;G,G,A;B;C,G,B;C;D,E,A;C;F,H,B;D;F,D,E;G;H,D,A;C;H,G,E;F;G,A,D;E;F,D,E;F;G,D,A;C;H,H,B;C;D,C;F;H,C;F;H,C;F;H,C;F;H,C;F;H,A,A
GradCAM++;Saliency;GradCAM,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LIME;Guided GradCAM,GradCAM++;LIME;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,LIME;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,LIME;LRP;Guided GradCAM,D,B;C;E,H,A;B;C,H,A;B;C,G,A;B;C,H,A;B;C,G,A;B;C,H,A;B;C,H,A;B;C,E,A;C;H,F,A;E;H,G,A;B;C,H,A;C;E,G,B;E;H,E,A;C;G,G,A;B;C,H,A;C;E,C;E;G,C;F;H,C;F;H,C;E;H,C;F;H,D,D
GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LIME;Guided GradCAM,GradCAM++;LIME;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;LIME;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,D,B;E;F,F,B;C;H,D,B;C;E,F,A;E;H,G,B;C;E,G,B;C;E,G,C;E;F,G,B;C;F,D,A;E;F,D,A;C;E,D,A;C;G,D,A;E;G,D,A;B;C,D,A;C;G,G,A;B;C,F,A;D;E,C;F;G,B;C;F,C;F;G,C;F;G,C;F;H,B,A
GradCAM++;Saliency;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LIME;Guided GradCAM,GradCAM++;LIME;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,H,B;C;F,H,B;C;F,H,B;C;F,E,A;C;F,H,B;C;F,E,B;C;F,F,A;B;C,A,B;C;F,D,A;E;H,D,A;E;G,D,A;C;E,D,A;C;E,D,B;C;H,E,A;C;G,D,B;E;H,H,A;D;E,C;F;G,C;F;H,B;C;H,C;F;H,F;G;H,A,D
GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;LIME;GradCAM,DeepLIFT;GradCAM;LRP,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,G,B;C;E,G,A;B;C,G,A;B;C,F,A;B;C,G,A;B;C,E,A;B;C,H,A;B;C,E,A;C;F,D,A;F;G,D,A;B;H,D,A;G;H,D,A;E;G,D,A;F;G,G,A;C;G,E,A;C;D,F,A;C;D,E;F;G,F;G;H,F;G;H,F;G;H,E;F;H,C,B
GradCAM++;Saliency;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LIME;Guided GradCAM,GradCAM++;LIME;Occlusions,DeepLIFT;LRP;Guided GradCAM,DeepLIFT;GradCAM++;LIME,GradCAM;LRP;Occlusions,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,H,B;C;F,E,B;C;F,D,B;C;F,D,B;C;F,D,B;C;F,E,B;C;F,H,B;C;E,A,B;C;F,D,A;C;F,D,A;C;E,D,A;C;H,D,A;C;E,D,A;B;C,D,A;C;G,D,A;B;C,H,A;C;D,C;F;G,C;F;H,C;F;H,C;F;G,C;F;G,A,A
GradCAM++;Saliency;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,LIME;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;GradCAM;Occlusions,DeepLIFT;LRP;Guided GradCAM,GradCAM++;Saliency;GradCAM,DeepLIFT;LRP;Guided GradCAM,G,A;B;C,G,B;C;F,H,B;C;F,D,B;C;F,G,B;C;G,E,A;B;C,G,A;B;C,E,B;C;F,D,A;F;H,D,A;C;H,G,A;C;H,D,D;G;H,D,C;F;H,F,D;E;H,D,A;B;H,F,E;G;H,C;E;F,D;F;H,C;F;H,C;F;H,C;F;H,B,B
GradCAM++;Saliency;Guided GradCAM,DeepLIFT;LIME;GradCAM,GradCAM++;Saliency;GradCAM,LIME;LRP;Occlusions,GradCAM++;Saliency;GradCAM,DeepLIFT;Guided GradCAM;Occlusions,DeepLIFT;GradCAM++;GradCAM,Saliency;LIME;LRP,Saliency;GradCAM;Occlusions,DeepLIFT;LIME;Guided GradCAM,H,B;E;F,G,B;C;F,A,B;C;F,B,D;E;F,D,B;C;G,A,C;D;F,G,B;C;F,A,B;C;F,G,C;E;H,D,A;C;H,D,A;C;H,F,A;E;G,E,D;F;H,H,A;F;H,F,A;B;C,F,A;D;H,F;G;H,C;F;H,C;F;H,C;F;G,C;F;H,B,B
GradCAM++;GradCAM;Guided GradCAM,LIME;LRP;Occlusions,GradCAM++;GradCAM;Guided GradCAM,LIME;LRP;Occlusions,DeepLIFT;GradCAM;Guided GradCAM,LIME;LRP;Occlusions,GradCAM++;GradCAM;Guided GradCAM,DeepLIFT;LIME;LRP,DeepLIFT;Saliency;Guided GradCAM,LIME;GradCAM;Occlusions,B,A;G;H,B,A;G;H,B,A;C;H,B,A;C;F,B,A;C;G,D,B;C;F,G,A;C;D,B,C;F;G,A,D;F;H,B,D;F;H,B,D;F;H,E,D;F;H,B,F;G;H,A,C;F;G,A,F;G;H,A,C;E;F,C;F;H,C;F;H,C;F;H,E;F;G,C;F;H,A,A
